## Ore Dictionary Info                      ##
##############################################
## In the form:                             ##
## <ore dictionary entry>                   ##
##     <item id registered> - <item damage> ##
##     etc...                               ##
##############################################
actinolite
contenttweaker:figandesitecrackedshortbrick - 0
contenttweaker:figandesitedebossed - 0
contenttweaker:figandesitepolished - 0
contenttweaker:figandesiteshortbrick - 0
contenttweaker:figandesitemossybrick - 0
contenttweaker:figandesitemossychiseledbrick - 0
contenttweaker:figandesitemossydebossed - 0
contenttweaker:figandesitemossycobblestone - 0
contenttweaker:figandesitemossypolished - 0
contenttweaker:figandesitemossyshortbrick - 0
contenttweaker:figandesitelichenbrown - 0
contenttweaker:figandesitelichenorange - 0
contenttweaker:figandesitelichenred - 0
contenttweaker:figandesitelichenyellow - 0
contenttweaker:cyanandesite - 0
contenttweaker:cyanandesitebrick - 0
contenttweaker:cyanandesitechiseledbrick - 0
contenttweaker:cyanandesitecobblestone - 0
contenttweaker:cyanandesitecrackedbrick - 0
contenttweaker:cyanandesitecrackedshortbrick - 0
contenttweaker:cyanandesitedebossed - 0
contenttweaker:cyanandesitepolished - 0
contenttweaker:cyanandesiteshortbrick - 0
contenttweaker:cyanandesitemossybrick - 0
contenttweaker:cyanandesitemossychiseledbrick - 0
contenttweaker:cyanandesitemossydebossed - 0
contenttweaker:cyanandesitemossycobblestone - 0
contenttweaker:cyanandesitemossypolished - 0
contenttweaker:cyanandesitemossyshortbrick - 0
contenttweaker:cyanandesitelichenbrown - 0
contenttweaker:cyanandesitelichenorange - 0
contenttweaker:cyanandesitelichenred - 0
contenttweaker:cyanandesitelichenyellow - 0
contenttweaker:redandesite - 0
contenttweaker:redandesitebrick - 0
contenttweaker:redandesitechiseledbrick - 0
contenttweaker:redandesitecobblestone - 0
contenttweaker:redandesitecrackedbrick - 0
contenttweaker:redandesitecrackedshortbrick - 0
contenttweaker:redandesitedebossed - 0
contenttweaker:redandesitepolished - 0
contenttweaker:redandesiteshortbrick - 0
contenttweaker:redandesitemossybrick - 0
contenttweaker:redandesitemossychiseledbrick - 0
contenttweaker:redandesitemossydebossed - 0
contenttweaker:redandesitemossycobblestone - 0
contenttweaker:redandesitemossypolished - 0
contenttweaker:redandesitemossyshortbrick - 0
contenttweaker:redandesitelichenbrown - 0
contenttweaker:redandesitelichenorange - 0
contenttweaker:redandesitelichenred - 0
contenttweaker:redandesitelichenyellow - 0
contenttweaker:classy_mauveandesite - 0
contenttweaker:classy_mauveandesitebrick - 0
contenttweaker:classy_mauveandesitechiseledbrick - 0
contenttweaker:classy_mauveandesitecobblestone - 0
contenttweaker:classy_mauveandesitecrackedbrick - 0
contenttweaker:classy_mauveandesitecrackedshortbrick - 0
contenttweaker:classy_mauveandesitedebossed - 0
contenttweaker:classy_mauveandesitepolished - 0
contenttweaker:classy_mauveandesiteshortbrick - 0
contenttweaker:classy_mauveandesitemossybrick - 0
contenttweaker:classy_mauveandesitemossychiseledbrick - 0
contenttweaker:classy_mauveandesitemossydebossed - 0
contenttweaker:classy_mauveandesitemossycobblestone - 0
contenttweaker:classy_mauveandesitemossypolished - 0
contenttweaker:classy_mauveandesitemossyshortbrick - 0
contenttweaker:classy_mauveandesitelichenbrown - 0
contenttweaker:classy_mauveandesitelichenorange - 0
contenttweaker:classy_mauveandesitelichenred - 0
contenttweaker:classy_mauveandesitelichenyellow - 0
contenttweaker:whiteandesite - 0
contenttweaker:whiteandesitebrick - 0
contenttweaker:whiteandesitechiseledbrick - 0
contenttweaker:whiteandesitecobblestone - 0
contenttweaker:whiteandesitecrackedbrick - 0
contenttweaker:whiteandesitecrackedshortbrick - 0
contenttweaker:whiteandesitedebossed - 0
contenttweaker:whiteandesitepolished - 0
contenttweaker:whiteandesiteshortbrick - 0
contenttweaker:whiteandesitemossybrick - 0
contenttweaker:whiteandesitemossychiseledbrick - 0
contenttweaker:whiteandesitemossydebossed - 0
contenttweaker:whiteandesitemossycobblestone - 0
contenttweaker:whiteandesitemossypolished - 0
contenttweaker:whiteandesitemossyshortbrick - 0
contenttweaker:whiteandesitelichenbrown - 0
contenttweaker:whiteandesitelichenorange - 0
contenttweaker:whiteandesitelichenred - 0
contenttweaker:whiteandesitelichenyellow - 0
contenttweaker:fernandesite - 0
contenttweaker:fernandesitebrick - 0
contenttweaker:fernandesitechiseledbrick - 0
contenttweaker:fernandesitecobblestone - 0
contenttweaker:fernandesitecrackedbrick - 0
contenttweaker:fernandesitecrackedshortbrick - 0
contenttweaker:fernandesitedebossed - 0
contenttweaker:fernandesitepolished - 0
contenttweaker:fernandesiteshortbrick - 0
contenttweaker:fernandesitemossybrick - 0
contenttweaker:fernandesitemossychiseledbrick - 0
contenttweaker:fernandesitemossydebossed - 0
contenttweaker:fernandesitemossycobblestone - 0
contenttweaker:fernandesitemossypolished - 0
contenttweaker:fernandesitemossyshortbrick - 0
contenttweaker:fernandesitelichenbrown - 0
contenttweaker:fernandesitelichenorange - 0
contenttweaker:fernandesitelichenred - 0
contenttweaker:fernandesitelichenyellow - 0
contenttweaker:moss_gardensandesite - 0
contenttweaker:moss_gardensandesitebrick - 0
contenttweaker:moss_gardensandesitechiseledbrick - 0
contenttweaker:moss_gardensandesitecobblestone - 0
contenttweaker:moss_gardensandesitecrackedbrick - 0
contenttweaker:moss_gardensandesitecrackedshortbrick - 0
contenttweaker:moss_gardensandesitedebossed - 0
contenttweaker:moss_gardensandesitepolished - 0
contenttweaker:moss_gardensandesiteshortbrick - 0
contenttweaker:moss_gardensandesitemossybrick - 0
contenttweaker:moss_gardensandesitemossychiseledbrick - 0
contenttweaker:moss_gardensandesitemossydebossed - 0
contenttweaker:moss_gardensandesitemossycobblestone - 0
contenttweaker:moss_gardensandesitemossypolished - 0
contenttweaker:moss_gardensandesitemossyshortbrick - 0
contenttweaker:moss_gardensandesitelichenbrown - 0
contenttweaker:moss_gardensandesitelichenorange - 0
contenttweaker:moss_gardensandesitelichenred - 0
contenttweaker:moss_gardensandesitelichenyellow - 0
contenttweaker:oliveandesite - 0
contenttweaker:oliveandesitebrick - 0
contenttweaker:oliveandesitechiseledbrick - 0
contenttweaker:oliveandesitecobblestone - 0
contenttweaker:oliveandesitecrackedbrick - 0
contenttweaker:oliveandesitecrackedshortbrick - 0
contenttweaker:oliveandesitedebossed - 0
contenttweaker:oliveandesitepolished - 0
contenttweaker:oliveandesiteshortbrick - 0
contenttweaker:oliveandesitemossybrick - 0
contenttweaker:oliveandesitemossychiseledbrick - 0
contenttweaker:oliveandesitemossydebossed - 0
contenttweaker:oliveandesitemossycobblestone - 0
contenttweaker:oliveandesitemossypolished - 0
contenttweaker:oliveandesitemossyshortbrick - 0
contenttweaker:oliveandesitelichenbrown - 0
contenttweaker:oliveandesitelichenorange - 0
contenttweaker:oliveandesitelichenred - 0
contenttweaker:oliveandesitelichenyellow - 0
contenttweaker:vin_cuitandesite - 0
contenttweaker:vin_cuitandesitebrick - 0
contenttweaker:vin_cuitandesitechiseledbrick - 0
contenttweaker:vin_cuitandesitecobblestone - 0
contenttweaker:vin_cuitandesitecrackedbrick - 0
contenttweaker:vin_cuitandesitecrackedshortbrick - 0
contenttweaker:vin_cuitandesitedebossed - 0
contenttweaker:vin_cuitandesitepolished - 0
contenttweaker:vin_cuitandesiteshortbrick - 0
contenttweaker:vin_cuitandesitemossybrick - 0
contenttweaker:vin_cuitandesitemossychiseledbrick - 0
contenttweaker:vin_cuitandesitemossydebossed - 0
contenttweaker:vin_cuitandesitemossycobblestone - 0
contenttweaker:vin_cuitandesitemossypolished - 0
contenttweaker:vin_cuitandesitemossyshortbrick - 0
contenttweaker:vin_cuitandesitelichenbrown - 0
contenttweaker:vin_cuitandesitelichenorange - 0
contenttweaker:vin_cuitandesitelichenred - 0
contenttweaker:vin_cuitandesitelichenyellow - 0
contenttweaker:blushandesite - 0
contenttweaker:blushandesitebrick - 0
contenttweaker:blushandesitechiseledbrick - 0
contenttweaker:blushandesitecobblestone - 0
contenttweaker:blushandesitecrackedbrick - 0
contenttweaker:blushandesitecrackedshortbrick - 0
contenttweaker:blushandesitedebossed - 0
contenttweaker:blushandesitepolished - 0
contenttweaker:blushandesiteshortbrick - 0
contenttweaker:blushandesitemossybrick - 0
contenttweaker:blushandesitemossychiseledbrick - 0
contenttweaker:blushandesitemossydebossed - 0
contenttweaker:blushandesitemossycobblestone - 0
contenttweaker:blushandesitemossypolished - 0
contenttweaker:blushandesitemossyshortbrick - 0
contenttweaker:blushandesitelichenbrown - 0
contenttweaker:blushandesitelichenorange - 0
contenttweaker:blushandesitelichenred - 0
contenttweaker:blushandesitelichenyellow - 0
contenttweaker:japanese_bonsaiandesite - 0
contenttweaker:japanese_bonsaiandesitebrick - 0
contenttweaker:japanese_bonsaiandesitechiseledbrick - 0
contenttweaker:japanese_bonsaiandesitecobblestone - 0
contenttweaker:japanese_bonsaiandesitecrackedbrick - 0
contenttweaker:japanese_bonsaiandesitecrackedshortbrick - 0
contenttweaker:japanese_bonsaiandesitedebossed - 0
contenttweaker:japanese_bonsaiandesitepolished - 0
contenttweaker:japanese_bonsaiandesiteshortbrick - 0
contenttweaker:japanese_bonsaiandesitemossybrick - 0
contenttweaker:japanese_bonsaiandesitemossychiseledbrick - 0
contenttweaker:japanese_bonsaiandesitemossydebossed - 0
contenttweaker:japanese_bonsaiandesitemossycobblestone - 0
contenttweaker:japanese_bonsaiandesitemossypolished - 0
contenttweaker:japanese_bonsaiandesitemossyshortbrick - 0
contenttweaker:japanese_bonsaiandesitelichenbrown - 0
contenttweaker:japanese_bonsaiandesitelichenorange - 0
contenttweaker:japanese_bonsaiandesitelichenred - 0
contenttweaker:japanese_bonsaiandesitelichenyellow - 0
contenttweaker:red_violetandesite - 0
contenttweaker:red_violetandesitebrick - 0
contenttweaker:red_violetandesitechiseledbrick - 0
contenttweaker:red_violetandesitecobblestone - 0
contenttweaker:red_violetandesitecrackedbrick - 0
contenttweaker:red_violetandesitecrackedshortbrick - 0
contenttweaker:red_violetandesitedebossed - 0
contenttweaker:red_violetandesitepolished - 0
contenttweaker:red_violetandesiteshortbrick - 0
contenttweaker:red_violetandesitemossybrick - 0
contenttweaker:red_violetandesitemossychiseledbrick - 0
contenttweaker:red_violetandesitemossydebossed - 0
contenttweaker:red_violetandesitemossycobblestone - 0
contenttweaker:red_violetandesitemossypolished - 0
contenttweaker:red_violetandesitemossyshortbrick - 0
contenttweaker:red_violetandesitelichenbrown - 0
contenttweaker:red_violetandesitelichenorange - 0
contenttweaker:red_violetandesitelichenred - 0
contenttweaker:red_violetandesitelichenyellow - 0
contenttweaker:kiss_a_cornandesite - 0
contenttweaker:kiss_a_cornandesitebrick - 0
contenttweaker:kiss_a_cornandesitechiseledbrick - 0
contenttweaker:kiss_a_cornandesitecobblestone - 0
contenttweaker:kiss_a_cornandesitecrackedbrick - 0
contenttweaker:kiss_a_cornandesitecrackedshortbrick - 0
contenttweaker:kiss_a_cornandesitedebossed - 0
contenttweaker:kiss_a_cornandesitepolished - 0
contenttweaker:kiss_a_cornandesiteshortbrick - 0
contenttweaker:kiss_a_cornandesitemossybrick - 0
contenttweaker:kiss_a_cornandesitemossychiseledbrick - 0
contenttweaker:kiss_a_cornandesitemossydebossed - 0
contenttweaker:kiss_a_cornandesitemossycobblestone - 0
contenttweaker:kiss_a_cornandesitemossypolished - 0
contenttweaker:kiss_a_cornandesitemossyshortbrick - 0
contenttweaker:kiss_a_cornandesitelichenbrown - 0
contenttweaker:kiss_a_cornandesitelichenorange - 0
contenttweaker:kiss_a_cornandesitelichenred - 0
contenttweaker:kiss_a_cornandesitelichenyellow - 0
contenttweaker:lavenderandesite - 0
contenttweaker:lavenderandesitebrick - 0
contenttweaker:lavenderandesitechiseledbrick - 0
contenttweaker:lavenderandesitecobblestone - 0
contenttweaker:lavenderandesitecrackedbrick - 0
contenttweaker:lavenderandesitecrackedshortbrick - 0
contenttweaker:lavenderandesitedebossed - 0
contenttweaker:lavenderandesitepolished - 0
contenttweaker:lavenderandesiteshortbrick - 0
contenttweaker:lavenderandesitemossybrick - 0
contenttweaker:lavenderandesitemossychiseledbrick - 0
contenttweaker:lavenderandesitemossydebossed - 0
contenttweaker:lavenderandesitemossycobblestone - 0
contenttweaker:lavenderandesitemossypolished - 0
contenttweaker:lavenderandesitemossyshortbrick - 0
contenttweaker:lavenderandesitelichenbrown - 0
contenttweaker:lavenderandesitelichenorange - 0
contenttweaker:lavenderandesitelichenred - 0
contenttweaker:lavenderandesitelichenyellow - 0
contenttweaker:reading_tea_leavesandesite - 0
contenttweaker:reading_tea_leavesandesitebrick - 0
contenttweaker:reading_tea_leavesandesitechiseledbrick - 0
contenttweaker:reading_tea_leavesandesitecobblestone - 0
contenttweaker:reading_tea_leavesandesitecrackedbrick - 0
contenttweaker:reading_tea_leavesandesitecrackedshortbrick - 0
contenttweaker:reading_tea_leavesandesitedebossed - 0
contenttweaker:reading_tea_leavesandesitepolished - 0
contenttweaker:reading_tea_leavesandesiteshortbrick - 0
contenttweaker:reading_tea_leavesandesitemossybrick - 0
contenttweaker:reading_tea_leavesandesitemossychiseledbrick - 0
contenttweaker:reading_tea_leavesandesitemossydebossed - 0
contenttweaker:reading_tea_leavesandesitemossycobblestone - 0
contenttweaker:reading_tea_leavesandesitemossypolished - 0
contenttweaker:reading_tea_leavesandesitemossyshortbrick - 0
contenttweaker:reading_tea_leavesandesitelichenbrown - 0
contenttweaker:reading_tea_leavesandesitelichenorange - 0
contenttweaker:reading_tea_leavesandesitelichenred - 0
contenttweaker:reading_tea_leavesandesitelichenyellow - 0
contenttweaker:ceruleanandesite - 0
contenttweaker:ceruleanandesitebrick - 0
contenttweaker:ceruleanandesitechiseledbrick - 0
contenttweaker:ceruleanandesitecobblestone - 0
contenttweaker:ceruleanandesitecrackedbrick - 0
contenttweaker:ceruleanandesitecrackedshortbrick - 0
contenttweaker:ceruleanandesitedebossed - 0
contenttweaker:ceruleanandesitepolished - 0
contenttweaker:ceruleanandesiteshortbrick - 0
contenttweaker:ceruleanandesitemossybrick - 0
contenttweaker:ceruleanandesitemossychiseledbrick - 0
contenttweaker:ceruleanandesitemossydebossed - 0
contenttweaker:ceruleanandesitemossycobblestone - 0
contenttweaker:ceruleanandesitemossypolished - 0
contenttweaker:ceruleanandesitemossyshortbrick - 0
contenttweaker:ceruleanandesitelichenbrown - 0
contenttweaker:ceruleanandesitelichenorange - 0
contenttweaker:ceruleanandesitelichenred - 0
contenttweaker:ceruleanandesitelichenyellow - 0
contenttweaker:chartreuseandesite - 0
contenttweaker:chartreuseandesitebrick - 0
contenttweaker:chartreuseandesitechiseledbrick - 0
contenttweaker:chartreuseandesitecobblestone - 0
contenttweaker:chartreuseandesitecrackedbrick - 0
contenttweaker:chartreuseandesitecrackedshortbrick - 0
contenttweaker:chartreuseandesitedebossed - 0
contenttweaker:chartreuseandesitepolished - 0
contenttweaker:chartreuseandesiteshortbrick - 0
contenttweaker:chartreuseandesitemossybrick - 0
contenttweaker:chartreuseandesitemossychiseledbrick - 0
contenttweaker:chartreuseandesitemossydebossed - 0
contenttweaker:chartreuseandesitemossycobblestone - 0
contenttweaker:chartreuseandesitemossypolished - 0
contenttweaker:chartreuseandesitemossyshortbrick - 0
contenttweaker:chartreuseandesitelichenbrown - 0
contenttweaker:chartreuseandesitelichenorange - 0
contenttweaker:chartreuseandesitelichenred - 0
contenttweaker:chartreuseandesitelichenyellow - 0
contenttweaker:mysterious_blueandesite - 0
contenttweaker:mysterious_blueandesitebrick - 0
contenttweaker:mysterious_blueandesitechiseledbrick - 0
contenttweaker:mysterious_blueandesitecobblestone - 0
contenttweaker:mysterious_blueandesitecrackedbrick - 0
contenttweaker:mysterious_blueandesitecrackedshortbrick - 0
contenttweaker:mysterious_blueandesitedebossed - 0
contenttweaker:mysterious_blueandesitepolished - 0
contenttweaker:mysterious_blueandesiteshortbrick - 0
contenttweaker:mysterious_blueandesitemossybrick - 0
contenttweaker:mysterious_blueandesitemossychiseledbrick - 0
contenttweaker:mysterious_blueandesitemossydebossed - 0
contenttweaker:mysterious_blueandesitemossycobblestone - 0
contenttweaker:mysterious_blueandesitemossypolished - 0
contenttweaker:mysterious_blueandesitemossyshortbrick - 0
contenttweaker:mysterious_blueandesitelichenbrown - 0
contenttweaker:mysterious_blueandesitelichenorange - 0
contenttweaker:mysterious_blueandesitelichenred - 0
contenttweaker:mysterious_blueandesitelichenyellow - 0
contenttweaker:phoenix_redandesite - 0
contenttweaker:phoenix_redandesitebrick - 0
contenttweaker:phoenix_redandesitechiseledbrick - 0
contenttweaker:phoenix_redandesitecobblestone - 0
contenttweaker:phoenix_redandesitecrackedbrick - 0
contenttweaker:phoenix_redandesitecrackedshortbrick - 0
contenttweaker:phoenix_redandesitedebossed - 0
contenttweaker:phoenix_redandesitepolished - 0
contenttweaker:phoenix_redandesiteshortbrick - 0
contenttweaker:phoenix_redandesitemossybrick - 0
contenttweaker:phoenix_redandesitemossychiseledbrick - 0
contenttweaker:phoenix_redandesitemossydebossed - 0
contenttweaker:phoenix_redandesitemossycobblestone - 0
contenttweaker:phoenix_redandesitemossypolished - 0
contenttweaker:phoenix_redandesitemossyshortbrick - 0
contenttweaker:phoenix_redandesitelichenbrown - 0
contenttweaker:phoenix_redandesitelichenorange - 0
contenttweaker:phoenix_redandesitelichenred - 0
contenttweaker:phoenix_redandesitelichenyellow - 0
contenttweaker:creamandesite - 0
contenttweaker:creamandesitebrick - 0
contenttweaker:creamandesitechiseledbrick - 0
contenttweaker:creamandesitecobblestone - 0
contenttweaker:creamandesitecrackedbrick - 0
contenttweaker:creamandesitecrackedshortbrick - 0
contenttweaker:creamandesitedebossed - 0
contenttweaker:creamandesitepolished - 0
contenttweaker:creamandesiteshortbrick - 0
contenttweaker:creamandesitemossybrick - 0
contenttweaker:creamandesitemossychiseledbrick - 0
contenttweaker:creamandesitemossydebossed - 0
contenttweaker:creamandesitemossycobblestone - 0
contenttweaker:creamandesitemossypolished - 0
contenttweaker:creamandesitemossyshortbrick - 0
contenttweaker:creamandesitelichenbrown - 0
contenttweaker:creamandesitelichenorange - 0
contenttweaker:creamandesitelichenred - 0
contenttweaker:creamandesitelichenyellow - 0
contenttweaker:grapeandesite - 0
contenttweaker:grapeandesitebrick - 0
contenttweaker:grapeandesitechiseledbrick - 0
contenttweaker:grapeandesitecobblestone - 0
contenttweaker:grapeandesitecrackedbrick - 0
contenttweaker:grapeandesitecrackedshortbrick - 0
contenttweaker:grapeandesitedebossed - 0
contenttweaker:grapeandesitepolished - 0
contenttweaker:grapeandesiteshortbrick - 0
contenttweaker:grapeandesitemossybrick - 0
contenttweaker:grapeandesitemossychiseledbrick - 0
contenttweaker:grapeandesitemossydebossed - 0
contenttweaker:grapeandesitemossycobblestone - 0
contenttweaker:grapeandesitemossypolished - 0
contenttweaker:grapeandesitemossyshortbrick - 0
contenttweaker:grapeandesitelichenbrown - 0
contenttweaker:grapeandesitelichenorange - 0
contenttweaker:grapeandesitelichenred - 0
contenttweaker:grapeandesitelichenyellow - 0
contenttweaker:brownandesite - 0
contenttweaker:brownandesitebrick - 0
contenttweaker:brownandesitechiseledbrick - 0
contenttweaker:brownandesitecobblestone - 0
contenttweaker:brownandesitecrackedbrick - 0
contenttweaker:brownandesitecrackedshortbrick - 0
contenttweaker:brownandesitedebossed - 0
contenttweaker:brownandesitepolished - 0
contenttweaker:brownandesiteshortbrick - 0
contenttweaker:brownandesitemossybrick - 0
contenttweaker:brownandesitemossychiseledbrick - 0
contenttweaker:brownandesitemossydebossed - 0
contenttweaker:brownandesitemossycobblestone - 0
contenttweaker:brownandesitemossypolished - 0
contenttweaker:brownandesitemossyshortbrick - 0
contenttweaker:brownandesitelichenbrown - 0
contenttweaker:brownandesitelichenorange - 0
contenttweaker:brownandesitelichenred - 0
contenttweaker:brownandesitelichenyellow - 0
contenttweaker:steel_blueandesite - 0
contenttweaker:steel_blueandesitebrick - 0
contenttweaker:steel_blueandesitechiseledbrick - 0
contenttweaker:steel_blueandesitecobblestone - 0
contenttweaker:steel_blueandesitecrackedbrick - 0
contenttweaker:steel_blueandesitecrackedshortbrick - 0
contenttweaker:steel_blueandesitedebossed - 0
contenttweaker:steel_blueandesitepolished - 0
contenttweaker:steel_blueandesiteshortbrick - 0
contenttweaker:steel_blueandesitemossybrick - 0
contenttweaker:steel_blueandesitemossychiseledbrick - 0
contenttweaker:steel_blueandesitemossydebossed - 0
contenttweaker:steel_blueandesitemossycobblestone - 0
contenttweaker:steel_blueandesitemossypolished - 0
contenttweaker:steel_blueandesitemossyshortbrick - 0
contenttweaker:steel_blueandesitelichenbrown - 0
contenttweaker:steel_blueandesitelichenorange - 0
contenttweaker:steel_blueandesitelichenred - 0
contenttweaker:steel_blueandesitelichenyellow - 0
contenttweaker:imperial_purpleandesite - 0
contenttweaker:imperial_purpleandesitebrick - 0
contenttweaker:imperial_purpleandesitechiseledbrick - 0
contenttweaker:imperial_purpleandesitecobblestone - 0
contenttweaker:imperial_purpleandesitecrackedbrick - 0
contenttweaker:imperial_purpleandesitecrackedshortbrick - 0
contenttweaker:imperial_purpleandesitedebossed - 0
contenttweaker:imperial_purpleandesitepolished - 0
contenttweaker:imperial_purpleandesiteshortbrick - 0
contenttweaker:imperial_purpleandesitemossybrick - 0
contenttweaker:imperial_purpleandesitemossychiseledbrick - 0
contenttweaker:imperial_purpleandesitemossydebossed - 0
contenttweaker:imperial_purpleandesitemossycobblestone - 0
contenttweaker:imperial_purpleandesitemossypolished - 0
contenttweaker:imperial_purpleandesitemossyshortbrick - 0
contenttweaker:imperial_purpleandesitelichenbrown - 0
contenttweaker:imperial_purpleandesitelichenorange - 0
contenttweaker:imperial_purpleandesitelichenred - 0
contenttweaker:imperial_purpleandesitelichenyellow - 0
contenttweaker:jovial_jadeandesite - 0
contenttweaker:jovial_jadeandesitebrick - 0
contenttweaker:jovial_jadeandesitechiseledbrick - 0
contenttweaker:jovial_jadeandesitecobblestone - 0
contenttweaker:jovial_jadeandesitecrackedbrick - 0
contenttweaker:jovial_jadeandesitecrackedshortbrick - 0
contenttweaker:jovial_jadeandesitedebossed - 0
